server_id,window_start,window_end,avg_cpu,avg_mem,alert
server_1,20:52:00,20:52:30,31.71,58.86,
server_1,20:52:10,20:52:40,30.76,48.26,
server_1,20:52:20,20:52:50,36.86,42.61,
server_1,20:52:30,20:53:00,42.99,50.13,
server_1,20:52:40,20:53:10,56.28,51.67,
server_1,20:52:50,20:53:20,69.99,47.69,
server_1,20:53:00,20:53:30,61.55,39.09,
server_1,20:53:10,20:53:40,66.65,54.0,
server_1,20:53:20,20:53:50,61.24,63.49,
server_1,20:53:30,20:54:00,69.04,58.12,
server_1,20:53:40,20:54:10,64.89,54.46,
server_1,20:53:50,20:54:20,67.73,54.74,
server_1,20:54:00,20:54:30,67.88,62.77,
server_1,20:54:10,20:54:40,64.85,67.41,
server_1,20:54:20,20:54:50,53.54,58.47,
server_1,20:54:30,20:55:00,53.67,57.13,
server_1,20:54:40,20:55:10,50.4,42.7,
server_1,20:54:50,20:55:20,65.35,60.16,
server_1,20:55:00,20:55:30,58.98,56.18,
server_1,20:55:10,20:55:40,65.48,61.72,
server_1,20:55:20,20:55:50,51.82,43.58,
server_1,20:55:30,20:56:00,52.19,53.99,
server_1,20:55:40,20:56:10,48.84,49.85,
server_1,20:55:50,20:56:20,54.67,54.85,
server_1,20:56:00,20:56:30,50.72,58.07,
server_1,20:56:10,20:56:40,48.39,61.05,
server_1,20:56:20,20:56:50,42.56,68.93,
server_1,20:56:30,20:57:00,51.71,62.66,
server_1,20:56:40,20:57:10,50.64,55.07,
server_1,20:56:50,20:57:20,52.97,46.48,
server_1,20:57:00,20:57:30,53.13,45.1,
server_1,20:57:10,20:57:40,56.96,53.5,
server_1,20:57:20,20:57:50,55.7,67.01,
server_1,20:57:30,20:58:00,58.99,64.44,
server_1,20:57:40,20:58:10,58.45,60.69,
server_1,20:57:50,20:58:20,63.63,37.74,
server_1,20:58:00,20:58:30,50.41,50.81,
server_1,20:58:10,20:58:40,44.16,58.29,
server_1,20:58:20,20:58:50,44.89,58.44,
server_1,20:58:30,20:59:00,58.38,46.21,
server_1,20:58:40,20:59:10,58.5,42.2,
server_1,20:58:50,20:59:20,39.8,64.57,
server_1,20:59:00,20:59:30,25.21,71.56,
server_1,20:59:10,20:59:40,27.01,68.65,
server_1,20:59:20,20:59:50,37.6,50.75,
server_1,20:59:30,21:00:00,47.69,44.68,
