server_id,window_start,window_end,max_net_in,max_disk_io,alert
server_4,20:55:00,20:55:30,15884.56,3067.25,Network flood + Disk thrash suspected
server_6,20:55:10,20:55:40,909.89,9406.0,Disk thrash suspected
server_17,20:56:10,20:56:40,927.48,133.21,Normal
server_18,20:56:20,20:56:50,14225.31,155.27,Possible DDoS
server_5,20:57:00,20:57:30,2247.79,647.18,Normal
server_5,20:59:30,21:00:00,2753.13,1234.9,Normal
server_10,21:00:00,21:00:30,16287.64,4517.12,Network flood + Disk thrash suspected
server_16,21:07:50,21:08:20,17419.83,7262.66,Network flood + Disk thrash suspected
server_17,21:11:40,21:12:10,928.75,168.48,Normal
server_5,21:13:00,21:13:30,15997.53,1172.17,Possible DDoS
server_8,21:14:50,21:15:20,4586.91,9823.86,Normal
server_8,21:17:40,21:18:10,18170.84,159.47,Possible DDoS
server_10,21:18:10,21:18:40,19326.99,7045.36,Network flood + Disk thrash suspected
server_4,21:20:10,21:20:40,11240.43,3813.73,Network flood + Disk thrash suspected
server_3,21:20:40,21:21:10,14661.4,159.48,Possible DDoS
server_12,21:21:00,21:21:30,16737.39,9524.17,Network flood + Disk thrash suspected
server_6,21:22:10,21:22:40,4973.9,5859.33,Normal
server_10,21:23:30,21:24:00,16080.71,4259.22,Network flood + Disk thrash suspected
server_20,21:24:50,21:25:20,1024.34,4249.72,Disk thrash suspected
server_8,21:26:40,21:27:10,4743.77,864.09,Normal
server_3,21:26:50,21:27:20,2212.56,1079.53,Normal
server_18,21:28:00,21:28:30,13775.23,159.86,Possible DDoS
server_4,21:30:00,21:30:30,7303.76,134.83,Possible DDoS
server_18,21:31:20,21:31:50,18384.61,3879.22,Network flood + Disk thrash suspected
server_8,21:32:00,21:32:30,3057.76,1013.61,Normal
server_20,21:33:30,21:34:00,809.63,127.11,Normal
server_8,21:36:20,21:36:50,1690.65,840.07,Normal
server_13,21:37:10,21:37:40,7751.28,9794.47,Network flood + Disk thrash suspected
server_7,21:39:20,21:39:50,10805.39,610.2,Possible DDoS
server_6,21:40:40,21:41:10,18852.29,3655.36,Network flood + Disk thrash suspected
server_7,21:40:50,21:41:20,16219.14,8200.11,Network flood + Disk thrash suspected
server_7,21:41:10,21:41:40,16219.14,7453.36,Network flood + Disk thrash suspected
server_17,21:42:00,21:42:30,1007.81,99.32,Normal
server_15,21:46:20,21:46:50,12634.99,6480.01,Network flood + Disk thrash suspected
server_17,21:46:50,21:47:20,18055.39,8750.0,Network flood + Disk thrash suspected
server_13,21:47:10,21:47:40,14567.29,789.46,Possible DDoS
server_19,21:47:30,21:48:00,3150.08,4421.94,Normal
server_7,21:48:10,21:48:40,17673.43,710.19,Possible DDoS
server_7,21:49:30,21:50:00,1225.04,824.8,Normal
server_2,21:50:00,21:50:30,901.62,6850.69,Disk thrash suspected
server_7,21:50:40,21:51:10,454.8,138.16,Normal
server_9,21:52:00,21:52:30,902.22,117.14,Normal
server_12,21:54:00,21:54:30,4096.82,9223.81,Normal
server_7,21:55:00,21:55:30,11302.57,1697.08,Possible DDoS
server_15,21:55:30,21:56:00,4913.58,9915.11,Normal
server_20,21:56:10,21:56:40,5046.11,195.58,Normal
server_17,21:57:40,21:58:10,831.11,8610.67,Disk thrash suspected
server_18,22:01:50,22:02:20,933.46,4543.07,Disk thrash suspected
server_14,22:04:00,22:04:30,4205.81,1938.89,Normal
server_7,22:04:10,22:04:40,6426.23,106.35,Possible DDoS
server_18,22:05:50,22:06:20,17743.72,8477.73,Network flood + Disk thrash suspected
server_7,22:05:50,22:06:20,14881.05,4453.49,Network flood + Disk thrash suspected
server_10,22:09:50,22:10:20,16568.91,112.22,Possible DDoS
server_8,22:10:20,22:10:50,11724.56,6579.73,Network flood + Disk thrash suspected
server_10,22:10:40,22:11:10,2371.01,6941.89,Normal
server_20,22:19:20,22:19:50,17399.36,7652.17,Network flood + Disk thrash suspected
server_5,22:22:40,22:23:10,935.44,7557.52,Disk thrash suspected
server_5,22:24:50,22:25:20,2032.23,1335.43,Normal
server_14,22:26:00,22:26:30,10555.88,9526.75,Network flood + Disk thrash suspected
server_1,22:26:50,22:27:20,1031.65,7957.31,Disk thrash suspected
server_18,22:27:40,22:28:10,9727.77,92.72,Possible DDoS
server_16,22:27:50,22:28:20,5939.71,8088.64,Network flood + Disk thrash suspected
server_9,22:28:10,22:28:40,977.06,183.22,Normal
server_16,22:30:10,22:30:40,15453.28,173.36,Possible DDoS
server_11,22:30:10,22:30:40,4222.11,8434.47,Normal
server_18,22:33:00,22:33:30,13469.36,1236.26,Possible DDoS
server_4,22:38:50,22:39:20,10023.76,5761.04,Network flood + Disk thrash suspected
server_6,22:39:30,22:40:00,2714.83,1018.78,Normal
server_17,22:39:40,22:40:10,2691.64,726.73,Normal
server_2,22:39:40,22:40:10,4367.01,1194.45,Normal
server_19,22:40:10,22:40:40,3807.39,1901.07,Normal
server_5,22:40:30,22:41:00,12678.19,113.12,Possible DDoS
server_3,22:41:00,22:41:30,3504.38,1130.74,Normal
server_5,22:43:30,22:44:00,17308.44,760.45,Possible DDoS
server_15,22:45:10,22:45:40,14537.27,3112.23,Network flood + Disk thrash suspected
server_5,22:47:00,22:47:30,4883.06,7112.28,Normal
server_5,22:47:10,22:47:40,4883.06,7112.28,Normal
server_11,20:52:20,20:52:50,3120.31,5365.92,Normal
server_1,20:54:50,20:55:20,10933.6,180.29,Possible DDoS
server_15,20:55:20,20:55:50,1000.45,143.19,Normal
server_1,20:55:20,20:55:50,2997.73,1979.61,Normal
server_13,20:56:10,20:56:40,2505.19,6417.43,Normal
server_7,20:59:20,20:59:50,3618.08,1985.45,Normal
server_11,21:01:50,21:02:20,3090.99,5733.23,Normal
server_7,21:03:30,21:04:00,882.5,137.24,Normal
server_18,21:10:00,21:10:30,2388.1,7534.86,Normal
server_16,21:10:20,21:10:50,616.48,8556.42,Disk thrash suspected
server_17,21:11:50,21:12:20,899.67,9346.68,Disk thrash suspected
server_7,21:11:50,21:12:20,1330.66,3177.97,Disk thrash suspected
server_14,21:12:10,21:12:40,939.27,92.61,Normal
server_17,21:14:20,21:14:50,1015.42,4759.25,Disk thrash suspected
server_18,21:17:50,21:18:20,8826.42,1563.19,Possible DDoS
server_11,21:19:10,21:19:40,4372.63,1287.62,Normal
server_15,21:23:30,21:24:00,1043.14,102.78,Normal
server_9,21:23:40,21:24:10,4158.52,4253.26,Normal
server_3,21:23:50,21:24:20,6232.63,6937.39,Network flood + Disk thrash suspected
server_16,21:24:10,21:24:40,12343.71,5983.86,Network flood + Disk thrash suspected
server_17,21:28:20,21:28:50,12533.03,9401.99,Network flood + Disk thrash suspected
server_12,21:28:30,21:29:00,3553.05,1892.05,Normal
server_3,21:29:00,21:29:30,10747.37,6516.28,Network flood + Disk thrash suspected
server_5,21:29:20,21:29:50,2455.55,6458.07,Normal
server_1,21:32:40,21:33:10,18718.76,4114.48,Network flood + Disk thrash suspected
server_17,21:32:50,21:33:20,3872.26,5107.02,Normal
server_10,21:36:10,21:36:40,19498.9,131.82,Possible DDoS
server_8,21:36:30,21:37:00,949.89,160.06,Normal
server_5,21:37:40,21:38:10,1039.96,73.47,Normal
server_7,21:38:20,21:38:50,2824.01,5827.58,Normal
server_2,21:39:20,21:39:50,6943.36,1464.74,Possible DDoS
server_8,21:44:30,21:45:00,1468.8,9435.13,Disk thrash suspected
server_20,21:45:10,21:45:40,17140.47,4289.93,Network flood + Disk thrash suspected
server_18,21:49:40,21:50:10,3655.52,1964.03,Normal
server_1,21:54:20,21:54:50,18649.04,150.11,Possible DDoS
server_8,21:57:50,21:58:20,13828.08,3247.31,Network flood + Disk thrash suspected
server_12,21:58:40,21:59:10,14175.49,121.73,Possible DDoS
server_10,21:58:40,21:59:10,13182.34,1708.45,Possible DDoS
server_8,22:01:40,22:02:10,5793.32,3994.57,Network flood + Disk thrash suspected
server_8,22:03:00,22:03:30,15314.35,610.1,Possible DDoS
server_14,22:05:10,22:05:40,891.22,94.83,Normal
server_6,22:06:10,22:06:40,2653.7,8377.13,Normal
server_1,22:07:20,22:07:50,1009.8,74.45,Normal
server_19,22:08:30,22:09:00,19840.81,700.34,Possible DDoS
server_11,22:10:40,22:11:10,16716.35,8481.46,Network flood + Disk thrash suspected
server_10,22:16:30,22:17:00,7847.83,1928.43,Network flood + Disk thrash suspected
server_12,22:20:50,22:21:20,1754.03,1167.68,Normal
server_14,22:22:40,22:23:10,12339.83,69.23,Possible DDoS
server_11,22:23:10,22:23:40,17277.03,799.48,Possible DDoS
server_8,22:23:30,22:24:00,870.93,135.11,Normal
server_8,22:24:30,22:25:00,936.27,81.95,Normal
server_11,22:25:30,22:26:00,12944.95,5054.99,Network flood + Disk thrash suspected
server_16,22:29:20,22:29:50,1008.46,150.17,Normal
server_11,22:29:50,22:30:20,1185.3,872.87,Normal
server_20,22:31:00,22:31:30,641.45,7203.54,Disk thrash suspected
server_15,22:31:30,22:32:00,11427.21,669.23,Possible DDoS
server_11,22:31:40,22:32:10,1385.01,1209.38,Normal
server_2,22:33:20,22:33:50,918.65,170.56,Normal
