ts,server_id,cpu_pct,mem_pct,net_in,net_out,disk_io
20:52:00,server_1,11.13,90.55,59.62,45.81,22.4
20:52:00,server_20,86.58,91.4,890.2,617.79,103.23
20:52:00,server_19,52.68,51.32,503.79,505.96,63.47
20:52:00,server_18,22.43,31.04,160.91,116.07,0.0
20:52:00,server_17,80.25,8.66,800.37,549.23,8.21
20:52:00,server_16,23.34,30.49,302.21,299.76,37.61
20:52:00,server_14,93.47,92.89,969.88,792.05,69.94
20:52:00,server_13,97.69,93.6,1055.09,1210.68,40.15
20:52:00,server_12,47.76,46.19,437.47,501.2,13.2
20:52:00,server_11,38.7,37.63,392.36,308.53,34.18
20:52:00,server_15,23.47,21.38,180.12,244.55,41.66
20:52:00,server_9,2.69,81.03,39.36,44.98,19.29
20:52:00,server_8,15.06,97.98,193.02,113.55,0.0
20:52:00,server_7,28.4,32.65,335.97,191.72,76.56
20:52:00,server_6,75.72,42.81,7606.52,9122.65,108.33
20:52:00,server_5,90.06,84.98,930.45,555.31,87.9
20:52:00,server_4,84.91,27.26,738.65,892.16,99.28
20:52:00,server_3,88.11,26.27,879.46,1259.72,122.11
20:52:00,server_2,83.12,7.7,794.03,939.16,110.4
20:52:00,server_10,49.16,37.36,145.69,176.4,3584.89
20:52:05,server_13,39.16,30.94,478.36,245.58,19.91
20:52:05,server_14,61.39,70.97,676.37,931.81,106.92
20:52:05,server_15,64.65,55.74,663.66,696.65,114.64
20:52:05,server_16,86.96,12.96,921.73,1225.9,36.03
20:52:05,server_20,21.03,47.52,61.85,85.54,6625.66
20:52:05,server_18,50.91,44.93,473.65,350.88,65.11
20:52:05,server_19,47.6,54.62,516.68,740.15,0.0
20:52:05,server_12,34.74,52.65,379.91,409.42,105.54
20:52:05,server_17,43.75,40.02,445.13,348.0,54.94
20:52:05,server_11,46.3,48.16,504.77,620.6,157.28
20:52:05,server_5,66.6,37.82,13544.49,12717.13,73.27
20:52:05,server_9,42.34,53.47,374.8,316.54,41.8
20:52:05,server_10,97.2,3.3,1092.39,925.48,54.89
20:52:05,server_2,61.99,50.49,1755.12,1662.31,717.59
20:52:05,server_3,26.77,30.42,172.97,209.82,31.65
20:52:05,server_4,42.05,52.67,2477.3,2008.72,1765.69
20:52:05,server_1,42.97,47.26,4283.6,3652.86,1164.9
20:52:05,server_6,43.54,58.26,419.51,574.1,31.74
20:52:05,server_7,73.31,40.85,8892.49,7832.36,88.18
20:52:05,server_8,64.66,48.44,4658.98,4936.11,1469.53
20:52:10,server_20,53.29,38.89,6267.18,6786.78,104.34
20:52:10,server_19,47.67,30.62,1.28,0.65,3088.76
20:52:10,server_18,57.96,60.09,543.01,486.18,80.64
